pair_id,true_x,true_y,rotation_degrees
context_000,515,500,0.691
context_001,517,417,-0.095
context_002,602,521,-0.14
context_003,517,445,0.209
context_004,381,479,-0.001
context_005,601,426,-0.888
context_006,552,518,0.372
context_007,496,535,-0.496
context_008,480,424,0.722
context_009,427,411,0.786
context_010,393,390,0.505
context_011,475,473,-0.234
context_012,484,392,-0.582
context_013,589,413,0.031
context_014,512,480,-0.039
context_015,466,511,0.146
context_016,438,541,-0.879
context_017,459,449,0.835
context_018,473,512,0.936
context_019,508,496,-0.589
context_020,419,459,0.173
context_021,539,610,0.509
context_022,454,391,-0.015
context_023,591,451,-0.221
context_024,589,603,-0.769
context_025,607,604,0.466
context_026,499,471,0.988
context_027,425,570,0.873
context_028,543,388,0.121
context_029,412,479,0.013
