pair_id,true_x,true_y,rotation_degrees,reference_noise_sigma,search_noise_sigma,reference_noise_seed,search_noise_seed
batch_000,586,424,-0.645,2.741,6.42,858454,652784
batch_001,554,601,-0.444,3.03,8.304,146127,226333
batch_002,445,539,-0.4,2.73,5.782,964734,209416
batch_003,507,526,0.392,3.127,6.731,411896,313820
batch_004,483,434,-0.256,2.378,7.925,358750,420193
batch_005,388,542,-0.0,2.004,8.176,303575,93445
batch_006,463,395,0.917,2.628,7.268,946104,888395
batch_007,403,606,-0.974,2.563,7.687,850592,604315
batch_008,492,515,0.319,2.377,8.768,69501,546060
batch_009,565,524,0.214,3.231,6.611,591171,857078
batch_010,387,538,0.11,2.257,6.12,421327,231698
batch_011,619,592,-0.054,2.627,5.471,335941,558297
batch_012,507,559,0.378,3.3,7.87,604780,604400
batch_013,380,467,0.829,2.227,6.471,359572,318782
batch_014,542,540,-0.124,2.846,5.735,156084,240626
batch_015,389,390,0.135,2.241,6.863,688997,957841
batch_016,589,584,0.959,2.593,7.871,720780,275480
batch_017,545,399,0.284,2.323,7.198,25373,498668
batch_018,585,448,0.54,3.304,5.826,533307,78372
batch_019,427,590,-0.459,2.525,6.665,395582,919130
batch_020,414,484,0.952,3.065,6.684,153115,552986
batch_021,386,427,-0.269,2.975,6.475,395540,435234
batch_022,586,620,-0.53,2.05,6.979,516458,991993
batch_023,383,602,0.974,2.709,8.735,858046,505794
batch_024,452,536,0.876,2.033,8.503,506996,999436
batch_025,515,522,-0.768,2.662,6.645,700130,697463
batch_026,573,558,-0.139,3.549,6.669,148979,746471
batch_027,442,409,-0.621,3.485,6.343,284410,320119
batch_028,597,491,-0.614,3.684,7.048,56474,399596
batch_029,411,399,-0.37,2.767,7.826,723898,474036
