pair_id,true_x,true_y,rotation_degrees
large_000,522,511,-0.204
large_001,442,590,-0.729
large_002,568,479,-0.535
large_003,580,488,0.519
large_004,557,449,0.839
large_005,539,501,0.098
large_006,468,473,0.314
large_007,477,475,0.545
large_008,600,490,0.19
large_009,600,564,-0.303
large_010,528,587,-0.454
large_011,504,561,0.967
large_012,550,424,-0.323
large_013,576,529,-0.99
large_014,514,412,-0.672
large_015,401,473,0.548
large_016,524,541,0.529
large_017,541,581,0.281
large_018,444,434,0.665
large_019,511,450,0.267
large_020,527,560,-0.682
large_021,423,440,-0.329
large_022,496,555,0.811
large_023,537,498,-0.633
large_024,542,443,-0.681
large_025,553,468,-0.021
large_026,479,567,0.554
large_027,453,592,0.571
large_028,544,500,0.478
large_029,491,551,-0.184
