pair_id,true_x,true_y,predicted_x,predicted_y,error_pixels,runtime_ms,best_score,selected_scale,selected_angle,near_best_candidates,ambiguity_ratio
batch_000,586,424,495,423,91.005,945.479,0.7083,1.0,-1.0,12,0.999
batch_001,554,601,500,401,207.162,910.91,0.722,1.0,-0.5,14,0.9985
batch_002,445,539,502,339,207.964,897.704,0.6959,1.0,-0.5,15,0.9949
batch_003,507,526,507,526,0.0,879.624,0.7165,1.0,0.5,6,0.9925
batch_004,483,434,483,434,0.0,893.79,0.7297,1.0,-0.5,12,0.9988
batch_005,388,542,479,542,91.0,897.126,0.6629,1.0,0.5,24,0.9995
batch_006,463,395,495,194,203.531,867.893,0.7669,1.0,1.0,12,0.9995
batch_007,403,606,494,608,91.022,876.475,0.7154,1.0,-1.0,12,0.9988
batch_008,492,515,492,515,0.0,821.905,0.7458,1.0,0.5,11,0.997
batch_009,565,524,509,524,56.0,659.961,0.7432,1.0,0.5,12,0.9997
batch_010,387,538,513,538,126.0,648.631,0.7009,1.0,0.5,6,0.9971
batch_011,619,592,514,592,105.0,703.504,0.7172,1.0,-0.5,14,0.9964
batch_012,507,559,506,359,200.002,661.903,0.764,1.0,0.5,10,0.9987
batch_013,380,467,504,865,416.869,662.94,0.7579,1.0,1.0,12,0.9988
batch_014,542,540,514,540,28.0,689.848,0.7424,1.0,-0.5,12,0.9952
batch_015,389,390,480,590,219.729,673.451,0.7662,1.0,0.5,10,0.998
batch_016,589,584,495,385,220.084,653.239,0.7282,1.0,1.0,12,0.9972
batch_017,545,399,497,599,205.679,696.791,0.7304,1.0,0.5,12,0.9977
batch_018,585,448,719,647,239.91,668.87,0.7076,1.0,0.5,24,0.9985
batch_019,427,590,518,591,91.005,674.65,0.7495,1.0,-0.5,13,0.9967
batch_020,414,484,508,683,220.084,650.88,0.784,1.0,1.0,12,0.9991
batch_021,386,427,477,428,91.005,663.134,0.6872,1.0,-0.5,12,0.9989
batch_022,586,620,495,619,91.005,673.151,0.7599,1.0,-1.0,21,0.9977
batch_023,383,602,383,602,0.0,661.724,0.705,1.0,1.0,12,0.9991
batch_024,452,536,364,737,219.42,695.252,0.7134,1.0,1.0,12,0.9998
batch_025,515,522,491,722,201.435,652.329,0.6969,1.0,-1.0,12,0.9978
batch_026,573,558,503,558,70.0,648.641,0.7637,1.0,-0.5,12,0.9987
batch_027,442,409,498,410,56.009,666.119,0.7375,1.0,-1.0,16,0.9965
batch_028,597,491,597,491,0.0,658.215,0.7806,1.0,-1.0,13,0.9962
batch_029,411,399,499,800,410.542,666.421,0.7031,1.0,-0.5,10,0.9988
