pair_id,true_x,true_y,predicted_x,predicted_y,error_pixels,runtime_ms,best_score,ambiguity_ratio,near_best_candidate_count,selected_scale_multiplier,selected_angle_degrees,template_width,template_height
dram_000,520,598,520,598,0.0,1229.253,0.581687,0.90436,1,0.99,-0.5,297,297
dram_001,477,531,477,531,0.0,1191.504,0.580982,0.933841,1,0.98,-0.5,294,294
dram_002,504,445,504,446,1.0,1117.662,0.629628,0.94915,1,1.03,1.0,309,309
dram_003,564,587,564,588,1.0,1168.057,0.696832,0.837186,1,1.01,-0.5,303,303
dram_004,596,445,596,444,1.0,1189.112,0.630783,0.847135,1,1.01,1.0,303,303
dram_005,471,541,471,541,0.0,1194.321,0.590348,0.93044,1,1.0,0.5,300,300
dram_006,573,497,572,496,1.414,962.042,0.596793,0.956613,1,1.01,-0.5,303,303
dram_007,422,480,422,480,0.0,969.227,0.570238,0.950536,1,0.98,0.5,294,294
dram_008,475,443,474,444,1.414,983.054,0.664126,0.843428,1,0.97,-1.0,291,291
dram_009,482,490,482,490,0.0,945.874,0.650079,0.920515,1,0.97,1.0,291,291
dram_010,524,516,524,516,0.0,960.45,0.700098,0.852566,1,1.01,1.0,303,303
dram_011,469,485,468,486,1.414,965.062,0.626671,0.99713,1,1.01,-0.5,303,303
dram_012,528,591,528,591,0.0,968.9,0.647368,0.894593,1,1.02,0.5,306,306
dram_013,459,541,459,541,0.0,977.301,0.707024,0.855484,1,0.98,-0.5,294,294
dram_014,504,584,504,584,0.0,984.728,0.613699,0.995725,1,1.01,0.0,303,303
dram_015,589,551,588,550,1.414,1067.824,0.666737,0.830166,1,0.99,0.5,297,297
dram_016,519,526,184,527,335.001,1093.477,0.512939,0.96985,1,0.98,0.0,294,294
dram_017,443,471,444,470,1.414,1055.413,0.679147,0.816154,1,0.99,0.5,297,297
dram_018,414,560,414,560,0.0,939.171,0.638795,0.856952,1,0.99,-0.5,297,297
dram_019,525,595,525,595,0.0,859.442,0.672121,0.86613,1,1.0,0.5,300,300
dram_020,592,536,592,536,0.0,872.418,0.605514,0.995696,1,1.0,0.5,300,300
dram_021,418,419,418,420,1.0,873.547,0.667459,0.86577,1,0.99,0.5,297,297
dram_022,516,595,516,596,1.0,943.664,0.679336,0.893006,1,0.99,0.5,297,297
dram_023,433,566,434,566,1.0,969.246,0.621238,0.961856,1,1.03,0.5,309,309
dram_024,422,471,422,472,1.0,972.981,0.6448,0.915637,1,0.99,0.5,297,297
dram_025,429,462,393,462,36.0,997.731,0.630959,0.96875,1,1.02,-0.5,306,306
dram_026,447,446,447,446,0.0,976.035,0.6765,0.921694,1,1.02,0.5,306,306
dram_027,580,545,580,544,1.0,996.919,0.664826,0.923129,1,1.03,-0.5,309,309
dram_028,477,488,478,488,1.0,974.628,0.626469,0.970997,1,0.99,1.0,297,297
dram_029,485,509,484,508,1.414,972.499,0.670522,0.999849,2,1.01,-0.5,303,303
