pair_id,true_x,true_y,predicted_x,predicted_y,error_pixels,runtime_ms,best_score,selected_scale,selected_angle,near_best_candidates,ambiguity_ratio
large_000,522,511,522,511,0.0,443.77,0.6562,1.0,-0.5,1,0.9396
large_001,442,590,442,590,0.0,429.761,0.6484,1.0,-0.5,1,0.9934
large_002,568,479,568,479,0.0,436.005,0.6977,1.0,-0.5,1,0.8312
large_003,580,488,580,488,0.0,466.102,0.6869,1.0,0.5,1,0.8352
large_004,557,449,557,449,0.0,417.202,0.7377,1.0,1.0,1,0.9069
large_005,539,501,539,501,0.0,421.988,0.7237,1.0,0.0,1,0.9155
large_006,468,473,468,473,0.0,423.44,0.6952,1.0,0.5,1,0.8398
large_007,477,475,477,475,0.0,422.044,0.7431,1.0,0.5,1,0.8262
large_008,600,490,600,490,0.0,414.462,0.611,1.0,0.5,1,0.9399
large_009,600,564,600,564,0.0,428.577,0.6972,1.0,-0.5,1,0.8552
large_010,528,587,528,587,0.0,423.496,0.7197,1.0,-0.5,1,0.7801
large_011,504,561,504,561,0.0,425.329,0.7309,1.0,1.0,1,0.8028
large_012,550,424,550,424,0.0,422.81,0.7076,1.0,-0.5,1,0.8405
large_013,576,529,576,529,0.0,440.657,0.6918,1.0,-1.0,1,0.7998
large_014,514,412,514,412,0.0,422.397,0.707,1.0,-0.5,1,0.938
large_015,401,473,401,473,0.0,416.745,0.6959,1.0,0.5,1,0.8573
large_016,524,541,524,541,0.0,423.448,0.7427,1.0,0.5,1,0.8121
large_017,541,581,541,581,0.0,421.51,0.6679,1.0,0.5,1,0.872
large_018,444,434,444,434,0.0,418.135,0.6627,1.0,0.5,1,0.935
large_019,511,450,511,450,0.0,425.129,0.7103,1.0,0.5,1,0.8827
large_020,527,560,527,560,0.0,418.15,0.7056,1.0,-0.5,1,0.9484
large_021,423,440,423,440,0.0,416.119,0.6294,1.0,-0.5,1,0.8319
large_022,496,555,496,555,0.0,417.839,0.7016,1.0,1.0,1,0.9258
large_023,537,498,537,498,0.0,417.662,0.6928,1.0,-0.5,1,0.9147
large_024,542,443,164,439,378.021,421.571,0.6931,1.0,-0.5,2,0.9997
large_025,553,468,553,468,0.0,424.776,0.6915,1.0,0.0,1,0.8838
large_026,479,567,479,567,0.0,421.893,0.7151,1.0,0.5,1,0.8509
large_027,453,592,453,592,0.0,416.816,0.6443,1.0,0.5,1,0.865
large_028,544,500,544,500,0.0,424.801,0.6862,1.0,0.5,1,0.812
large_029,491,551,491,551,0.0,425.04,0.6876,1.0,-0.5,1,0.969
