pair_id,true_x,true_y,predicted_x,predicted_y,error_pixels,runtime_ms,best_score,selected_scale,selected_angle,near_best_candidates,ambiguity_ratio
variation_000,532,381,510,781,400.605,953.86,0.7066,1.0,-0.5,4,0.9898
variation_001,511,472,508,272,200.022,1018.245,0.6897,1.0,1.0,12,0.997
variation_002,586,403,502,804,409.704,975.017,0.7165,1.0,1.0,12,0.9984
variation_003,453,414,561,612,225.539,928.367,0.7694,1.0,1.0,12,0.9979
variation_004,438,462,495,662,207.964,939.512,0.7193,1.0,0.5,12,0.9994
variation_005,546,429,513,629,202.704,948.856,0.7513,1.0,0.5,15,0.9999
variation_006,617,478,505,479,112.004,950.153,0.7285,1.0,1.0,19,0.9986
variation_007,504,542,504,542,0.0,856.425,0.67,1.0,-0.5,8,0.9971
variation_008,614,466,502,466,112.0,680.105,0.6862,1.0,0.5,8,0.9975
variation_009,396,382,429,582,202.704,690.251,0.7317,1.0,-1.0,11,0.992
variation_010,593,387,544,587,205.915,701.686,0.7673,1.0,0.5,11,0.9952
variation_011,470,426,561,425,91.005,774.751,0.762,1.0,1.0,12,0.9986
variation_012,601,476,496,476,105.0,720.56,0.6696,1.0,0.5,12,0.9987
variation_013,430,525,433,325,200.022,720.99,0.6914,1.0,-1.0,12,0.9969
variation_014,527,479,527,479,0.0,780.703,0.7069,1.0,0.5,1,0.9727
variation_015,481,388,638,586,252.692,775.21,0.7619,1.0,1.0,12,0.9987
variation_016,384,485,496,486,112.004,751.094,0.7405,1.0,-1.0,24,0.9991
variation_017,526,548,499,348,201.814,746.846,0.6903,1.0,-1.0,16,0.9984
variation_018,523,538,497,338,201.683,743.993,0.7503,1.0,-1.0,12,0.998
variation_019,438,480,438,480,0.0,797.735,0.7506,1.0,1.0,12,0.9986
variation_020,449,535,510,334,210.052,757.986,0.7041,1.0,1.0,19,0.9987
variation_021,467,598,504,398,203.394,755.331,0.7639,1.0,-1.0,24,0.9993
variation_022,418,593,418,593,0.0,803.332,0.7832,1.0,1.0,8,0.9995
variation_023,476,553,501,353,201.556,774.834,0.7177,1.0,1.0,12,0.997
variation_024,400,587,491,587,91.0,766.428,0.7472,1.0,0.5,12,0.9977
variation_025,604,617,604,617,0.0,737.169,0.7069,1.0,-1.0,6,0.9933
variation_026,577,394,486,594,219.729,795.463,0.6513,1.0,-0.5,15,0.9979
variation_027,472,576,493,576,21.0,714.907,0.6639,1.0,1.0,12,0.9985
variation_028,488,445,488,445,0.0,735.839,0.7069,1.0,-0.5,3,0.9921
variation_029,590,484,499,484,91.0,759.571,0.6774,1.0,-0.5,12,0.9975
