pair_id,true_x,true_y,predicted_x,predicted_y,error_pixels,runtime_ms,best_score,selected_scale,selected_angle,near_best_candidates,ambiguity_ratio
variation_000,532,381,531,781,400.001,959.573,0.7066,1.0,-0.5,1,0.9699
variation_001,511,472,508,272,200.022,887.353,0.6897,1.0,1.0,1,0.9707
variation_002,586,403,684,801,409.888,898.518,0.7165,1.0,1.0,2,0.9984
variation_003,453,414,449,214,200.04,857.124,0.7694,1.0,1.0,1,0.948
variation_004,438,462,642,661,284.986,876.196,0.7193,1.0,0.5,2,0.9994
variation_005,546,429,611,628,209.347,891.849,0.7513,1.0,0.5,4,0.9999
variation_006,617,478,598,678,200.9,914.62,0.7285,1.0,1.0,3,0.9986
variation_007,504,542,502,942,400.005,869.916,0.67,1.0,-0.5,1,0.9774
variation_008,614,466,614,466,0.0,890.262,0.6862,1.0,0.5,1,0.9844
variation_009,396,382,490,183,220.084,857.167,0.7317,1.0,-1.0,1,0.9825
variation_010,593,387,593,387,0.0,697.362,0.7673,1.0,0.5,1,0.9952
variation_011,470,426,564,625,220.084,669.236,0.762,1.0,1.0,3,0.9986
variation_012,601,476,538,476,63.0,671.479,0.6696,1.0,0.5,2,0.9987
variation_013,430,525,433,325,200.022,679.809,0.6914,1.0,-1.0,1,0.9532
variation_014,527,479,527,479,0.0,657.515,0.7069,1.0,0.5,1,0.9727
variation_015,481,388,487,788,400.045,682.811,0.7619,1.0,1.0,2,0.9987
variation_016,384,485,594,487,210.01,681.341,0.7405,1.0,-1.0,3,0.9991
variation_017,526,548,632,349,225.471,671.763,0.6903,1.0,-0.5,2,0.9984
variation_018,523,538,569,739,206.197,658.448,0.7503,1.0,-1.0,1,0.9793
variation_019,438,480,441,680,200.022,721.801,0.7506,1.0,1.0,2,0.9986
variation_020,449,535,587,333,244.639,646.332,0.7041,1.0,1.0,2,0.9987
variation_021,467,598,593,599,126.004,662.981,0.7639,1.0,-1.0,2,0.9993
variation_022,418,593,512,792,220.084,671.059,0.7832,1.0,1.0,2,0.9995
variation_023,476,553,590,752,229.34,684.62,0.7177,1.0,1.0,1,0.9797
variation_024,400,587,490,187,410.0,682.217,0.7472,1.0,0.5,1,0.971
variation_025,604,617,604,617,0.0,657.177,0.7069,1.0,-0.5,1,0.9933
variation_026,577,394,472,394,105.0,650.369,0.6513,1.0,0.5,1,0.9911
variation_027,472,576,509,776,203.394,669.533,0.6639,1.0,1.0,2,0.9985
variation_028,488,445,486,845,400.005,672.773,0.7069,1.0,-0.5,1,0.9794
variation_029,590,484,751,485,161.003,666.378,0.6774,1.0,-0.5,1,0.9716
