pair_id,true_x,true_y,rotation_degrees
variation_000,532,381,-0.228
variation_001,511,472,0.794
variation_002,586,403,0.94
variation_003,453,414,0.983
variation_004,438,462,0.367
variation_005,546,429,0.452
variation_006,617,478,0.637
variation_007,504,542,-0.26
variation_008,614,466,0.097
variation_009,396,382,-0.704
variation_010,593,387,0.035
variation_011,470,426,0.899
variation_012,601,476,0.228
variation_013,430,525,-0.941
variation_014,527,479,0.221
variation_015,481,388,0.814
variation_016,384,485,-0.627
variation_017,526,548,-0.419
variation_018,523,538,-0.744
variation_019,438,480,0.999
variation_020,449,535,0.611
variation_021,467,598,-0.594
variation_022,418,593,0.791
variation_023,476,553,0.707
variation_024,400,587,0.178
variation_025,604,617,-0.47
variation_026,577,394,0.071
variation_027,472,576,0.644
variation_028,488,445,-0.304
variation_029,590,484,-0.203
